unidentifiable	x/nY/dEn/tI/fY/x/bxl
watermelons	wc/tR/mE/lxnz
catastrophe	kx/t@s/trx/fi
eventually	E/vEn/Cu/x/li
electrolytes	x/lEk/trx/lYts
appliances	x/plY/In/sIz
polyester	pa/li/E/stR
semicircle	sE/mi/sR/kxl
amazingly	x/me/zIG/li
seriously	sI/ri/I/sli
unusual	xn/yu/Zu/xl
appropriate	x/prop/ri/et
cauliflower	kc/lI/flW/R
situation	sI/Cu/e/SIn
pinnochio	pI/no/ki/o
appreciate	x/pri/Si/et
appreciates	x/pri/Si/ets
graduation	gr@/Ju/e/SIn
tapioca	t@/pi/o/kx
awakening	x/we/kx/nIG
emotional	I/mo/SI/nxl
maneuvering	mx/nu/vx/rIG
recyclable	rI/sY/klx/bxl
variable	v@/ri/x/bxl
honeysuckle	h^/ni/s^/kxl
illusory	I/lu/zx/ri
variety	vx/rY/I/ti
anybody	E/ni/b^/di
everybody	E/vri/ba/di
communicate	kx/myu/nI/ket
everybody's	Ev/ri/ba/diz
anorexic	@/nx/rEk/sIk
helicopter	hE/lI/kap/tR
apparently	x/pe/rInt/li
definitely	dE/fI/nIt/li
regularly	rEg/yx/lR/li
aquarium	x/kwE/ri/xm
aggravated	@/grx/ve/tId
aggravating	@/grx/ve/tIG
alligator	@/lI/ge/tR
ballerinas	b@/lx/ri/nxz
celebrating	sE/lx/bre/tIG
decoration	dE/kx/re/SIn
decorations	dE/kx/re/SInz
european	yU/rx/pi/In
fascinated	f@/sI/ne/tId
fascinating	f@/sI/ne/tIG
fascination	f@/sI/ne/SIn
generations	JE/nx/re/SInz
illustrated	I/lx/stre/tId
imitating	I/mI/te/tIG
innovative	I/nx/ve/tIv
irritated	I/rI/te/tId
irritating	I/rI/te/tIG
operator	a/px/re/tR
pacifier	p@/si/fYr
pacifiers	p@/sI/fYrz
preparation	prE/px/re/SIn
purifier	pyU/rI/fYr
stimulated	stI/myx/le/tId
stimulating	stI/myx/le/tIG
terrorizing	tE/rx/rY/zIG
traumatizing	trc/mx/tY/zIG
macaroni	m@/kx/ro/ni
minestrone	mI/nI/stro/ni
ballerina	b@/lx/ri/nx
galleria	g@/lx/ri/x
hallelujah	h@/lx/lu/yx
jeremiah	JE/rx/mY/x
disappointing	dI/sx/pOn/tIG
adorable	x/do/rx/bxl
belligerent	bx/lI/JI/rInt
elizabeth	x/lI/zx/bxT
imagining	I/m@/JI/nIG
refrigerant	rI/frI/Jx/rInt
ridiculous	rI/dI/kyx/lIs
traditional	trx/dI/SI/nxl
irritable	I/rI/tx/bxl
miserable	mI/zx/rx/bxl
automatic	c/tx/m@/tIk
definition	dE/fI/nI/SIn
demolition	dE/mx/lI/SIn
television	tE/lx/vI/ZIn
apology	x/pa/lx/Ji
artillery	ar/tI/lx/ri
especially	E/spE/Sx/li
officially	x/fI/Sx/li
philosophy	fI/la/sx/fi
avocado	@/vx/ka/do
military	mI/lI/tE/ri
necessary	nE/sI/sE/ri
solidified	sx/lI/dI/fYd
evaporate	E/v@/px/ret
automobile	c/tx/mx/bil
avocados	@/vx/ka/doz
america	x/mE/rI/kx
absorbent	xb/zcr/bInt
accepted	Ek/sEp/tId
acknowledge	@k/na/lIJ
acknowledged	@k/na/lIJd
adventure	@d/vEn/CR
concentric	kxn/sEn/trIk
congestion	kxn/JEs/CIn
disgusted	dIs/g^/stId
disgusting	dIs/g^/stIG
distracted	dI/str@k/tId
distracting	dI/str@k/tIG
distraction	dIs/tr@k/SIn
entrapment	En/tr@p/mInt
exalted	Eg/zcl/tId
expected	Ek/spEk/tId
expecting	Ek/spEk/tIG
expensive	Eks/pEn/sIv
external	Eks/tR/nxl
extracted	Ek/str@k/tId
fantastic	f@n/t@s/tIk
important	Im/pcr/txnt
infection	In/fEk/SIn
infections	In/fEk/SInz
inflicting	In/flIk/tIG
insistent	In/sIs/tInt
instructions	In/str^k/SInz
invented	In/vEn/tId
performer	pR/fcr/mR
performing	pR/fcr/mIG
persistent	pR/sIs/tInt
september	sEp/tEm/bR
suspender	sxs/pEn/dR
suspenders	sx/spEn/dRz
sylvester	sIl/vE/stR
baptism	b@p/tI/zxm
comfortable	k^m/fR/tx/bxl
comforter	k^m/fR/tR
comforting	k^m/fR/tIG
ordering	cr/dx/rIG
rambling	r@m/bx/lIG
sorcerer	scr/sx/rR
ticklish	tI/kxl/IS
tumbling	t^m/bx/lIG
wandering	wan/dx/rIG
whispering	wI/spx/rIG
wonderful	w^n/dR/fxl
basketball	b@/skIt/bcl
basketballs	b@/skIt/bclz
discontent	dIs/kxn/tEnt
fingerprints	fIG/gR/prInts
handlebars	h@n/dxl/barz
internet	In/tR/nEt
mastercard	m@/stR/kard
silverware	sIl/vR/wer
smorgasbord	smor/gxs/bord
tenderness	tEn/dR/nIs
timberland	tIm/bR/l@nd
turtleneck	tR/txl/nEk
underarm	^n/dR/arm
undershirt	^n/d@/St
understand	^n/dR/st@nd
understood	^n/dR/stUd
underwear	^n/dR/wer
blockbuster	blak/b^/stR
hamburger	h@m/bR/gR
malfunction	m@l/f^Gk/SIn
midmorning	mId/mcr/nIG
chimpanzee	CIm/p@n/zi
exactly	Eg/z@kt/li
certainly	sR/txn/li
comfortably	k^m/fR/tx/bli
endlessly	End/lI/sli
infantry	In/fxn/tri
instantly	In/stInt/li
perfectly	pR/fIkt/li
practically	pr@k/tI/kli
symphony	sIm/fx/ni
tickly	tI/kxl/I
bumblebee	b^m/bxl/bi
yesterday	yEs/tR/de
afternoon	@f/tR/nun
bumblebees	b^m/bxl/biz
concentrate	kan/sIn/tret
entertained	E/nR/tend
exercise	Ek/sR/sYz
fingernail	fIG/gR/nel
fingernails	fIG/gR/nelz
underneath	^n/dR/niT
advises	@d/vY/zIz
complaining	kxm/ple/nIG
completed	kxm/pli/tId
computer	kxm/pyu/tR
confusing	kxn/fyu/zIG
container	kxn/te/nR
containers	kxn/te/nRz
controller	kxn/tro/lR
dalmatian	d@l/me/SIn
dalmatians	d@l/me/SInz
disposal	dIs/po/zxl
excited	Ek/sY/tId
exciting	Ek/sY/tIG
exploded	Ek/splo/dId
explosion	Eks/plo/ZIn
impatient	Im/pe/SInt
including	In/klu/dIG
invited	In/vY/tId
inviting	In/vY/tIG
mistaken	mIs/te/kxn
surprising	sR/prY/zIG
survivor	sR/vY/vR
actual	@k/Cu/xl
argument	ar/gyx/mInt
calcium	k@l/sixm
earlier	R/li/R
fiftieth	fIf/ti/IT
hungrier	h^G/gri/R
indian	In/di/In
indians	In/di/Inz
influence	In/flu/Ins
scorpion	skcr/pi/In
handyman	h@n/di/m@n
windowsill	wIn/do/sIl
arguing	arg/yu/IG
frustrated	fr^/stre/tId
frustrating	fr^/stre/tIG
lawn+mower	lcn/mo/R
leftover	lEf/to/vR
leftovers	lEf/to/vRz
lopsided	lap/sY/dId
october	ak/to/bR
push+overs	pU/So/vRz
salvation	s@l/ve/SIn
sunflower	s^n/flW/R
sunflowers	s^n/flW/Rz
wallpaper	wcl/pe/pR
wind+breaker	wInd/bre/kR
completely	kxm/plit/li
volcano	vcl/ke/no
parcheesi	par/Ci/zi
unruly	^n/ru/li
orioles	o/ri/olz
india	In/di/x
convenience	kxn/vi/nyIns
excitement	Ek/sYt/mInt
surrounded	sx/rWn/dId
rectangle	rEk/t@G/gxl
entirely	En/tYr/li
extremely	Ek/strim/li
ambitious	@m/bI/SIs
consider	kxn/sI/dR
discover	dIs/k^/vR
discovered	dI/sk^/vRd
discussion	dIs/k^/SIn
embarrassed	Em/b@/rIst
encourage	En/kR/rIJ
exhibits	Eg/zI/bIts
exploring	Ek/splo/rIG
expression	Eks/prE/SIn
fitzgerald	fIts/JE/rxld
forever	fx/rE/vR
gonzales	gxn/za/lEs
ignoring	Ig/no/rIG
macdonald	mxk/da/nxld
mcdonald	mxk/da/nxld
mcdonalds	mxk/da/nxldz
mcgregor	mx/grE/gR
mcmuffin	mxk/m^/fIn
permission	pR/mI/SIn
suspicious	sxs/pI/SIs
unbuckle	xn/b^/kxl
unbuckled	xn/b^/kxld
unbutton	xn/b^/txn
uncover	xn/k^/vR
unpacking	xn/p@/kIG
unpleasant	xn/plE/zInt
unplugging	xn/pl^/gIG
accident	@k/sI/dInt
answering	@n/sx/rIG
article	ar/tI/kxl
articles	ar/tI/kxlz
averaging	@v/rI/JIG
benjamin	bEn/Jx/mIn
cardinal	kar/dI/nxl
cardinals	kar/dI/nxlz
circular	sR/kyx/lR
confident	kan/fI/dInt
emperor's	Em/px/rRz
excellent	Ek/sx/lInt
exodus	Ek/sx/dxs
fixable	fIk/sx/bxl
furniture	fR/nI/CR
hospital	has/pI/txl
ignorance	Ig/nx/rIns
instrument	In/strx/mInt
instruments	In/strx/mInts
maximum	m@k/sI/mxm
necklaces	nE/klI/sIz
octopus	ak/tx/pxs
ornaments	cr/nx/mInts
personal	pR/sI/nxl
popsicle	pap/sI/kxl
practicing	pr@k/tI/sIG
principle	prIn/sI/pxl
questioning	kwEs/CI/nIG
sensitive	sEn/sI/tIv
strengthening	strEGk/Tx/nIG
technical	tEk/nI/kxl
temperature	tEm/px/rx/CR
torturing	tcr/Cx/rIG
vegetable	vEJ/tx/bxl
vegetables	vEJ/tx/bxlz
wondering	w^n/dx/rIG
alcohol	@l/kx/hcl
alphabet	@l/fx/bEt
alphabets	@l/fx/bEts
baltimore	bcl/tI/mcr
interrupt	In/tx/r^pt
laundromat	lcn/drx/m@t
margarine	mar/Jx/rIn
multiple	m^l/tI/pxl
octagon	ak/tx/gan
pentagon	pEn/tx/gan
personnel	pR/sI/nEl
restaurant	rE/stx/rant
barefooted	ber/fU/tId
dish+washer	dIS/wc/SR
forbidden	fcr/bI/dxn
forgetting	fcr/gE/tIG
godmother	gad/m^/DR
grandmother	gr@nd/m^/DR
grasshopper	gr@s/ha/pR
hard+headed	hard/hE/dId
horseradish	hcrs/r@/dIS
nutcracker	n^t/kr@/kR
sunglasses	s^n/gl@/sIz
zigzagging	zIg/z@/gIG
unhappy	xn/h@/pi
continue	kxn/tI/nyu
balcony	b@l/kx/ni
blustery	bl^/stx/ri
carefully	ker/fx/li
century	sEn/Cx/ri
clumsily	kl^m/zI/li
company	k^m/px/ni
constantly	kan/stInt/li
contrary	kxn/trE/ri
horribly	hc/rx/bli
injury	In/Jx/ri
innocent	I/nx/sInt
mystery	mIs/tx/ri
normally	ncr/mx/li
nursery	nR/sx/ri
technically	tEk/nI/kx/li
barbecue	bar/bx/kyu
bungalow	b^G/gx/lo
corduroy	kcr/dx/rO
indigo	In/dI/go
already	cl/rE/di
blackberry	bl@k/bE/ri
cranberry	kr@n/bE/ri
granddaddy	gr@nd/d@/di
mulberry	m^l/bE/ri
raspberry	r@z/bE/ri
somebody	s^m/b^/di
continued	kxn/tIn/yud
absolute	@b/sx/lut
cantaloupe	k@n/tx/lop
centipede	sEn/tI/pid
envelope	En/vx/lop
envelopes	En/vx/lops
hercules	hR/kyx/liz
introduced	In/trx/dust
marmalade	mar/mx/led
organize	cr/gx/nYz
organized	cr/gx/nYzd
porcupine	pcr/kyx/pYn
substitute	s^b/stI/tut
synthesized	sIn/Tx/sYzd
tambourine	t@m/bx/rin
tangerines	t@n/Jx/rinz
turnaround	tR/nx/rWnd
velveteen	vEl/vx/tin
versatile	vR/sI/txl
blackberries	bl@k/bE/riz
marshmallows	marS/mE/loz
somebody's	s^m/b^/diz
antenna	@n/tE/nx
umbrella	xm/brE/lx
formula	fcr/myx/lx
bandana	d^//nR
godzilla	gad/zI/lx
flavorful	fle/vR/fxl
ironing	Yr/nIG
opener	o/px/nR
opening	o/px/nIG
powerful	pW/R/fxl
quietness	kwY/It/nIs
seasoning	si/zI/nIG
neighborhood	ne/bR/hUd
overalls	o/vR/clz
overboard	o/vR/bord
paper+work	pe/pR/wRk
superman	su/pR/m@n
tablecloth	te/bxl/klcT
cucumbers	kyu/k^m/bRz
cucumber	kyu/k^m/bR
gigantic	JY/g@n/tIk
november	no/vEm/bR
utensil	yu/tEn/sxl
utensils	yu/tEn/sxlz
beautifully	byu/tI/fx/li
neighborly	ne/bR/li
quietly	kwY/It/li
seemingly	si/mIG/li
usually	yuZ/u/x/li
overflow	o/vR/flo
motorbike	mo/tR/bYk
overload	o/vR/lod
overnight	o/vR/nYt
overtime	o/vR/tYm
tablespoon	te/bxl/spun
creative	kri/e/tIv
cranium	kre/ni/xm
easier	i/zi/R
medium	mi/di/xm
nutrient	nu/tri/Int
premiums	pri/mi/xmz
sodium	so/di/xm
tiniest	tY/ni/Ist
usual	yu/Zu/xl
sleepy+head	sli/pI/hed
daydreaming	de/dri/mIG
profiling	pro/fY/lIG
reunion	ri/yu/nyIn
screwdriver	skru/drY/vR
shoelaces	Su/le/sIz
teenager	tin/e/JR
vacation	ve/ke/SIn
radio	re/di/o
studio	stu/di/o
tokyo	to/ki/o
crybaby	krY/be/bi
ohio	o/hY/o
ponytail	po/ni/tel
relocate	ri/lo/ket
julia	Jul/yx
hyena	hY/i/nx
isaiah	Y/ze/x
teaspoonfuls	ti/spun/fxlz
triangle	trY/@G/gxl
triangles	trY/@G/gxlz
becoming	bI/k^/mIG
beginning	bx/gI/nIG
beautiful	byu/tI/fxl
bicycle	bY/sI/kxl
breakable	bre/kx/bxl
crocuses	kro/kx/sIz
favorite	fe/vx/rIt
favorites	fe/vx/rIts
hydrogen	hY/drx/JIn
lunatic	lu/nI/tIk
musical	myu/zI/kxl
notices	no/tI/sIz
noticing	no/tI/sIG
poisonous	pOz/In/Is
quieter	kwY/I/tR
tricycle	trY/sI/kxl
tylenol	tY/lx/ncl
vehicle	vi/I/kxl
violence	vY/x/lIns
violent	vY/x/lInt
violet	vY/x/lIt
vitamin	vY/tx/mIn
vitamins	vY/tx/mInz
dialect	dY/x/lEkt
dinosaur	dY/nI/scr
reassured	ri/x/SUrd
theodore	Ti/x/dcr
uniforms	yu/nI/fcrmz
universe	yu/nI/vRs
violin	vY/x/lIn
beautician	byu/tI/SIn
eyeglasses	Y/gl@/sIz
flyswatter	flY/swc/tR
nutritious	nu/trI/SIs
pineapple	pY/n@/pxl
pineapples	pY/n@/pxlz
whoever	hu/E/vR
piano	pi/@/no
easily	i/zx/li
finally	fY/nx/li
nobody	no/bx/di
peony	pi/x/ni
totally	to/tx/li
blueberry	blu/bE/ri
library	lY/brE/ri
primary	prY/mE/ri
groceries	gro/sI/riz
nobody's	no/bx/diz
peonies	pi/x/niz
boomerang	bu/mx/r@G
gatorade	ge/tx/red
microphone	mY/krx/fon
microphones	mY/krx/fonz
microwave	mY/kro/wev
realized	ri/x/lYzd
rearrange	ri/x/renJ
styrofoam	stY/rx/fom
xylophone	zY/lx/fon
blueberries	blu/bE/riz
koala	ko/a/lx
omega	o/mE/gx
counter+top	kWn/tR/tap
cheese+burger	Ciz/bR/gR
mailboxes	mel/bak/sIz
handkerchiefs	h@G/kR/CIfs
foundation	fWn/de/SIn
lifesavers	lYf/se/vRz
newspaper	nuz/pe/pR
outrageous	Wt/re/JIs
dangerous	den/Jx/rxs
maintenance	men/tI/nIns
roadrunner	ro/dr^/nR
toothbrushes	tuT/br^/SIz
counselor	kWn/sx/lR
gracefully	gres/fx/li
gratefully	gret/fx/li
hopefully	hop/fx/li
kangaroo	k@G/gx/ru
potpourri	po/pU/ri
gooseberry	gus/bE/ri
kangaroos	k@G/gx/ruz
adjustment	x/J^s/tmInt
apartment	x/par/tmInt
assemble	x/sEm/bxl
asserting	x/sR/tIG
assistance	x/sIs/tIns
assortment	x/scrt/mInt
attention	x/tEn/SIn
attractive	x/tr@k/tIv
collection	kx/lEk/SIn
commanded	kx/m@n/dId
commander	kx/m@n/dR
commercial	kx/mR/Sxl
december	dI/sEm/bR
defender	dI/fEn/dR
deliver	dx/lI/vR
destructive	dIs/tr^k/tIv
detergent	dI/tR/JInt
determine	dI/tR/mIn
determined	dI/tR/mInd
direction	dI/rEk/SIn
directions	dI/rEk/SInz
disaster	dI/z@s/tR
domestic	dx/mEs/tIk
electric	x/lEk/trIk
enormous	I/ncr/mxs
equipment	I/kwIp/mInt
eternal	i/tR/nxl
familiar	fx/mI/lyR
italian	I/t@l/yIn
neglecting	nx/glEk/tIG
offensive	x/fEn/sIv
opinion	x/pI/nyIn
pavilion	px/vIl/i/In
prescription	prIs/krIp/SIn
prescriptions	prI/skrIp/SInz
pretending	prI/tEn/dIG
protected	prx/tEk/tId
protecting	prx/tEk/tIG
protection	prx/tEk/SIn
protesting	prx/tE/stIG
recorded	rI/kcr/dId
recorder	rI/kcr/dR
recording	rI/kcr/dIG
reflection	rI/flEk/SIn
refraction	rI/fr@k/SIn
regarding	rI/gar/dIG
rejected	rI/JEk/tId
relaxing	rx/l@k/sIG
remember	rx/mEm/bR
remembered	rx/mEm/bRd
remembers	rx/mEm/bRz
reported	rI/por/tId
resistant	rI/zIs/tInt
responding	rI/span/dIG
retarded	rI/tar/dId
returning	rI/tR/nIG
reversal	rI/vR/sxl
sebastian	sx/b@s/CIn
suggestion	sx/JEs/CIn
addicted	x/dIk/tId
repairman	rI/per/m@n
calendar	k@/lIn/dR
challenging	C@/lIn/JIG
character	k@/rxk/tR
characters	k@/rxk/tRz
clattering	kl@/tx/rIG
colorful	k^/lR/fxl
coloring	k^/lx/rIG
differences	dI/fx/rIn/sIz
gentleman	JEn/txl/mxn
jiggling	JI/gx/lIG
juggling	J^/gx/lIG
littler	lI/tx/lR
littlest	lI/tx/lIst
meddlesome	mE/dxl/sxm
meddling	mE/dx/lIG
medicine's	mE/dI/sInz
oranges	c/rIn/JIz
orangish	c/rIn/JIS
passenger	p@/sIn/JR
popular	pa/pyx/lR
puckering	p^/kx/rIG
punishment	p^/nIS/mInt
register	rE/JIs/tR
registered	rE/JI/stRd
rustling	r^/sx/lIG
several	sE/vx/rxl
shimmering	SI/mx/rIG
shoveling	S^/vx/lIG
slobbering	sla/bx/rIG
applesauce	@/pxl/scs
butternut	b^/t@/n^t
hollywood	ha/li/wUd
mockingbird	ma/kIG/bRd
motherland	m^/DR/l@nd
somersault	s^/mR/sclt
somersaults	s^/mR/sclts
stickleback	stI/kl/b@k
tupperware	t^/pR/wer
volunteer	va/lxn/tir
waterfall	wc/tR/fcl
aplenty	x/plEn/ti
correctly	kx/rEkt/li
flamingo	flx/mIG/go
cavalry	k@/vx/lri
energy	E/nR/Ji
heavenly	hE/vxn/li
honestly	a/nIst/li
magically	m@/JI/kli
properly	pra/pR/li
seventy	sE/vIn/ti
suddenly	s^/dxn/li
butterfly	b^/tRf/lY
dragonfly	dr@/gxn/flY
mistletoe	mI/sxl/to
satisfy	s@/tIs/fY
saturday	s@/tR/de
waterloo	wc/tR/lu
peroxide	px/rak/sYd
butterflies	b^/tR/flYz
cottontail	ka/txn/tel
dinnertime	dI/nR/tYm
otherwise	^/DR/wYz
recognize	rE/kxg/nYz
satisfied	s@/tIs/fYd
seventeen	sE/vIn/tin
seventeenth	sE/vIn/tinT
summertime	s^/mR/tYm
valentine	v@/lIn/tYn
valentines	v@/lIn/tYnz
valentine's	v@/lIn/tYnz
vaseline	va/sx/lin
magenta	mx/JEn/tx
miranda	mI/r@n/dx
samantha	sx/m@n/Tx
agreeing	x/gri/IG
amazing	x/me/zIG
amusing	x/myu/zIG
annoying	x/nO/IG
arriving	x/rY/vIG
careening	kx/ri/nIG
dakota's	dx/ko/txz
decided	dI/sY/dId
deleting	dx/li/tIG
destroying	dI/strO/IG
devotion	dI/vo/SIn
enjoying	En/JO/IG
occasion	x/ke/ZIn
parading	px/re/dIG
procedure	prx/si/JR
provider	prx/vY/dR
recycling	rI/sY/kx/lIG
related	rx/le/tId
retriever	rI/tri/vR
borrowing	ba/ro/IG
bullying	bU/li/IG
carrying	k@/ri/IG
cereal	sI/ri/xl
cereals	sI/ri/xlz
chillier	CI/li/R
curious	kyU/ri/xs
following	fa/lo/IG
funniest	f^/ni/Ist
furious	fyU/ri/xs
glorious	glo/ri/Is
happiest	h@/pi/Ist
happiness	h@/pi/nIs
heavier	hE/vi/R
idiot	I/di/It
lillian	lI/li/In
period	pI/ri/xd
prettier	prI/ti/R
samuel	s@/myu/xl
serious	sI/ri/xs
sillier	sI/li/R
skinnier	skI/ni/R
steadier	stE/di/R
studying	st^/di/IG
visual	vI/Zu/xl
warrior	wc/rir
anymore	E/ni/mor
anyone	E/ni/w^n
anything	E/ni/TIG
anywhere	E/ni/wer
everyone	E/vri/w^n
everything	E/vri/TIG
everything's	Ev/ri/TIGz
everywhere	E/vri/wer
hollyhock	ha/li/hak
jelly+fish	JE/li/fIS
lollipop	la/li/pap
pussycat	pU/si/k@t
storybook	sto/ri/bUk
volleyball	va/li/bcl
baloney	bx/lo/ni
mosquito	mxs/ki/to
potato	px/te/to
tomato	tx/me/to
bologna	bx/lo/ni
marino	mx/ri/no
alfredo	@l/fre/do
cheerio	tSI@/rI/@U
grocery	gro/sI/ri
patio	p@/ti/o
video	vI/di/o
anyhow	E/ni/hW
anyway	E/ni/we
disobey	dI/sx/be
stereo	stE/ri/o
mosquitos	mx/ski/toz
cheerios	Ci/ri/oz
videos	vI/di/oz
anytime	E/ni/tYm
anyways	E/ni/wez
copyright	ka/pi/rYt
halloween	h@/lx/win
dakota	dx/ko/tx
elijah	x/lY/Jx
granola	grx/no/lx
jemima	Jx/mY/mx
papaya	px/pY/x
theresa	tx/ri/sx
vagina	vx/JY/nx
area	e/ri/x
joshua	Ja/Su/x
lydia	lI/di/x
amazement	x/mez/mInt
appointment	x/pOnt/mInt
arranging	x/ren/JIG
policeman	px/lis/mxn
reminding	rx/mYn/dIG
politely	px/lYt/li
aggressive	x/grE/sIv
aladin	l@//dIn
another	x/n^/DR
apparent	x/pe/rInt
appearance	x/pi/rIns
attaches	@/tx/Sez
attacking	x/t@/kIG
bananas	bx/n@/nxz
decisions	dI/sIZ/Inz
delicious	dx/lI/SIs
deposit	dI/pa/zIt
dramatic	drx/m@/tIk
eleven	x/lE/vIn
eleventh	x/lE/vInT
enamel	E/n@/mxl
galoshes	gx/la/SIz
gorillas	gx/rI/lxz
imagine	I/m@/JIn
official	x/fI/Sxl
pajamas	px/Ja/mxz
position	px/zI/SIn
professor	prx/fE/sR
propeller	prx/pE/lR
recovered	rI/k^/vRd
religious	rx/lI/JIs
